#tileswide 30
#tileshigh 16
#tilewidth 32
#tileheight 32
#layer 0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,9,10,3,
7,15,26,27,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,27,16,16,16,26,16,16,11,3,
7,26,16,26,26,26,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,13,13,26,16,16,16,11,3,
7,15,16,16,16,11,17,18,18,19,15,16,26,16,16,16,16,16,16,26,16,11,17,18,19,15,16,16,11,3,
7,15,16,16,16,11,24,25,25,20,15,16,16,16,16,16,16,16,16,16,16,11,24,25,20,15,16,16,11,3,
7,15,16,16,16,11,24,25,25,20,15,16,16,16,16,16,16,16,16,16,16,11,24,25,20,15,16,27,11,3,
7,15,27,16,16,11,24,25,25,20,15,16,16,16,16,16,16,16,16,16,16,11,24,25,20,15,16,16,11,3,
7,15,16,16,16,11,23,22,22,21,15,16,16,16,16,16,16,16,16,16,16,11,24,25,20,15,16,16,11,3,
7,15,16,16,16,26,9,9,9,9,16,16,16,16,16,16,16,16,16,16,16,11,24,25,20,15,16,16,11,3,
7,15,16,16,16,26,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,24,25,20,15,16,16,11,3,
7,26,26,16,26,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,24,25,20,15,16,16,11,3,
7,15,16,26,16,16,16,16,16,16,16,16,16,16,16,16,16,27,16,16,16,11,23,22,21,15,16,16,11,3,
7,15,27,16,16,16,16,26,16,16,16,16,26,16,16,16,16,16,16,26,16,16,9,9,9,26,16,16,11,3,
7,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,26,13,12,3,
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,

